GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01450,01450,"ZIP 01450 (Groton, MA)",00,Total for all sectors,2010,204,1603,12121,54778
8610000US01451,01451,"ZIP 01451 (Harvard, MA)",00,Total for all sectors,2010,151,637,7117,34793
8610000US01452,01452,"ZIP 01452 (Hubbardston, MA)",00,Total for all sectors,2010,45,329,1899,8199
8610000US01453,01453,"ZIP 01453 (Leominster, MA)",00,Total for all sectors,2010,1101,16919,134096,587374
8610000US01460,01460,"ZIP 01460 (Littleton, MA)",00,Total for all sectors,2010,311,4165,58472,251944
8610000US01462,01462,"ZIP 01462 (Lunenburg, MA)",00,Total for all sectors,2010,194,1666,12181,60167
8610000US01463,01463,"ZIP 01463 (Pepperell, MA)",00,Total for all sectors,2010,206,1102,8440,41521
8610000US01464,01464,"ZIP 01464 (Shirley, MA)",00,Total for all sectors,2010,108,982,10051,45027
8610000US01467,01467,"ZIP 01467 (Still River, MA)",00,Total for all sectors,2010,9,a,131,653
8610000US01468,01468,"ZIP 01468 (Templeton, MA)",00,Total for all sectors,2010,48,223,1805,8647
8610000US01469,01469,"ZIP 01469 (Townsend, MA)",00,Total for all sectors,2010,127,1235,11530,47088
8610000US01470,01470,"ZIP 01470 (Groton, MA)",00,Total for all sectors,2010,1,a,D,D
8610000US01471,01471,"ZIP 01471 (Groton, MA)",00,Total for all sectors,2010,5,f,D,D
8610000US01472,01472,"ZIP 01472 (West Groton, MA)",00,Total for all sectors,2010,10,329,2984,12098
8610000US01473,01473,"ZIP 01473 (Westminster, MA)",00,Total for all sectors,2010,152,1351,12797,59477
8610000US01474,01474,"ZIP 01474 (West Townsend, MA)",00,Total for all sectors,2010,27,220,1206,5265
8610000US01475,01475,"ZIP 01475 (Winchendon, MA)",00,Total for all sectors,2010,149,1125,6587,28869
8610000US01477,01477,"ZIP 01477 (Winchendon Springs, MA)",00,Total for all sectors,2010,2,b,D,D
8610000US01501,01501,"ZIP 01501 (Auburn, MA)",00,Total for all sectors,2010,562,10153,84496,373500
8610000US01503,01503,"ZIP 01503 (Berlin, MA)",00,Total for all sectors,2010,78,293,2024,10212
8610000US01504,01504,"ZIP 01504 (Blackstone, MA)",00,Total for all sectors,2010,126,759,5177,22133
8610000US01505,01505,"ZIP 01505 (Boylston, MA)",00,Total for all sectors,2010,120,1060,10293,49964
8610000US01506,01506,"ZIP 01506 (Brookfield, MA)",00,Total for all sectors,2010,47,341,1854,8076
8610000US01507,01507,"ZIP 01507 (Charlton, MA)",00,Total for all sectors,2010,218,2644,25833,116680
8610000US01508,01508,"ZIP 01508 (Charlton City, MA)",00,Total for all sectors,2010,33,387,1296,6303
8610000US01509,01509,"ZIP 01509 (Charlton Depot, MA)",00,Total for all sectors,2010,3,3,22,318
8610000US01510,01510,"ZIP 01510 (Clinton, MA)",00,Total for all sectors,2010,270,3904,33558,144098
8610000US01515,01515,"ZIP 01515 (East Brookfield, MA)",00,Total for all sectors,2010,44,263,1444,6943
8610000US01516,01516,"ZIP 01516 (Douglas, MA)",00,Total for all sectors,2010,117,542,3762,17818
8610000US01518,01518,"ZIP 01518 (Fiskdale, MA)",00,Total for all sectors,2010,63,468,3203,17014
8610000US01519,01519,"ZIP 01519 (Grafton, MA)",00,Total for all sectors,2010,95,g,D,D
8610000US01520,01520,"ZIP 01520 (Holden, MA)",00,Total for all sectors,2010,271,2645,22225,97438
8610000US01521,01521,"ZIP 01521 (Holland, MA)",00,Total for all sectors,2010,20,107,607,2665
8610000US01522,01522,"ZIP 01522 (Jefferson, MA)",00,Total for all sectors,2010,34,c,602,3433
